bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,product,timestamp
97,0,93,0,HATFIELD_STOCKS,100
92,0,88,2,COLLINGWOOD_STOCKS,100
212,0,208,0,CHADS_STOCKS,100
102,1,98,1,JOHNS_STOCKS,100
204,4,196,6,CASTLE_STOCKS,100
152,0,148,0,CUTHS_STOCKS,100
96,2,92,0,HATFIELD_STOCKS,200
90,1,88,3,COLLINGWOOD_STOCKS,200
211,0,209,0,CHADS_STOCKS,200
104,3,100,3,JOHNS_STOCKS,200
202,5,196,5,CASTLE_STOCKS,200
150,0,146,1,CUTHS_STOCKS,200
97,1,93,1,HATFIELD_STOCKS,300
91,0,89,2,COLLINGWOOD_STOCKS,300
212,1,208,1,CHADS_STOCKS,300
104,1,100,1,JOHNS_STOCKS,300
203,6,195,0,CASTLE_STOCKS,300
150,0,146,0,CUTHS_STOCKS,300
95,0,93,0,HATFIELD_STOCKS,400
91,0,87,0,COLLINGWOOD_STOCKS,400
212,0,210,0,CHADS_STOCKS,400
103,0,101,0,JOHNS_STOCKS,400
203,10,195,4,CASTLE_STOCKS,400
149,1,147,1,CUTHS_STOCKS,400
97,2,93,2,HATFIELD_STOCKS,500
91,0,89,0,COLLINGWOOD_STOCKS,500
212,0,208,0,CHADS_STOCKS,500
103,0,99,0,JOHNS_STOCKS,500
203,5,195,6,CASTLE_STOCKS,500
149,0,145,0,CUTHS_STOCKS,500
96,0,92,0,HATFIELD_STOCKS,600
92,0,88,0,COLLINGWOOD_STOCKS,600
213,2,209,1,CHADS_STOCKS,600
103,0,101,0,JOHNS_STOCKS,600
203,0,195,0,CASTLE_STOCKS,600
149,0,145,0,CUTHS_STOCKS,600
97,0,93,0,HATFIELD_STOCKS,700
92,1,88,0,COLLINGWOOD_STOCKS,700
213,0,211,2,CHADS_STOCKS,700
104,0,100,0,JOHNS_STOCKS,700
203,7,195,9,CASTLE_STOCKS,700
149,0,145,0,CUTHS_STOCKS,700
96,0,92,0,HATFIELD_STOCKS,800
91,0,89,0,COLLINGWOOD_STOCKS,800
211,0,207,0,CHADS_STOCKS,800
101,0,97,1,JOHNS_STOCKS,800
203,3,195,1,CASTLE_STOCKS,800
147,2,145,0,CUTHS_STOCKS,800
96,0,94,0,HATFIELD_STOCKS,900
92,0,88,0,COLLINGWOOD_STOCKS,900
209,2,205,1,CHADS_STOCKS,900
100,0,96,0,JOHNS_STOCKS,900
203,0,195,3,CASTLE_STOCKS,900
148,0,144,1,CUTHS_STOCKS,900
98,1,94,1,HATFIELD_STOCKS,1000
93,0,89,0,COLLINGWOOD_STOCKS,1000
210,3,208,2,CHADS_STOCKS,1000
100,0,96,0,JOHNS_STOCKS,1000
203,0,195,0,CASTLE_STOCKS,1000
149,1,145,1,CUTHS_STOCKS,1000
97,2,95,3,HATFIELD_STOCKS,1100
92,3,90,1,COLLINGWOOD_STOCKS,1100
211,0,207,0,CHADS_STOCKS,1100
100,1,96,1,JOHNS_STOCKS,1100
202,10,196,1,CASTLE_STOCKS,1100
147,4,145,1,CUTHS_STOCKS,1100
99,0,95,0,HATFIELD_STOCKS,1200
92,0,90,0,COLLINGWOOD_STOCKS,1200
211,0,207,0,CHADS_STOCKS,1200
100,3,96,3,JOHNS_STOCKS,1200
202,0,196,4,CASTLE_STOCKS,1200
146,0,144,1,CUTHS_STOCKS,1200
99,0,97,0,HATFIELD_STOCKS,1300
93,0,89,0,COLLINGWOOD_STOCKS,1300
211,3,207,2,CHADS_STOCKS,1300
99,0,95,1,JOHNS_STOCKS,1300
203,2,195,1,CASTLE_STOCKS,1300
146,2,142,0,CUTHS_STOCKS,1300
98,2,96,0,HATFIELD_STOCKS,1400
93,3,89,0,COLLINGWOOD_STOCKS,1400
213,1,209,0,CHADS_STOCKS,1400
98,2,94,1,JOHNS_STOCKS,1400
203,2,195,4,CASTLE_STOCKS,1400
145,0,143,1,CUTHS_STOCKS,1400
97,0,95,1,HATFIELD_STOCKS,1500
92,2,88,1,COLLINGWOOD_STOCKS,1500
211,0,207,0,CHADS_STOCKS,1500
98,0,94,0,JOHNS_STOCKS,1500
203,4,195,1,CASTLE_STOCKS,1500
146,0,142,3,CUTHS_STOCKS,1500
97,0,93,0,HATFIELD_STOCKS,1600
91,2,87,0,COLLINGWOOD_STOCKS,1600
210,2,208,0,CHADS_STOCKS,1600
96,1,92,1,JOHNS_STOCKS,1600
203,6,195,8,CASTLE_STOCKS,1600
146,0,142,1,CUTHS_STOCKS,1600
96,0,92,0,HATFIELD_STOCKS,1700
90,2,88,1,COLLINGWOOD_STOCKS,1700
212,0,208,0,CHADS_STOCKS,1700
97,0,93,2,JOHNS_STOCKS,1700
203,9,195,9,CASTLE_STOCKS,1700
146,2,142,2,CUTHS_STOCKS,1700
96,0,92,2,HATFIELD_STOCKS,1800
91,0,87,0,COLLINGWOOD_STOCKS,1800
212,2,208,2,CHADS_STOCKS,1800
99,1,95,1,JOHNS_STOCKS,1800
203,2,195,9,CASTLE_STOCKS,1800
145,0,143,1,CUTHS_STOCKS,1800
96,0,94,0,HATFIELD_STOCKS,1900
91,0,89,0,COLLINGWOOD_STOCKS,1900
211,0,209,1,CHADS_STOCKS,1900
99,0,95,0,JOHNS_STOCKS,1900
203,3,195,5,CASTLE_STOCKS,1900
145,0,143,1,CUTHS_STOCKS,1900
94,2,92,0,HATFIELD_STOCKS,2000
90,3,86,3,COLLINGWOOD_STOCKS,2000
212,0,208,0,CHADS_STOCKS,2000
98,2,94,0,JOHNS_STOCKS,2000
202,0,196,4,CASTLE_STOCKS,2000
145,1,141,0,CUTHS_STOCKS,2000
94,0,92,0,HATFIELD_STOCKS,2100
90,4,86,2,COLLINGWOOD_STOCKS,2100
210,1,208,0,CHADS_STOCKS,2100
97,0,93,0,JOHNS_STOCKS,2100
202,6,196,2,CASTLE_STOCKS,2100
146,0,142,0,CUTHS_STOCKS,2100
96,0,92,0,HATFIELD_STOCKS,2200
91,0,87,0,COLLINGWOOD_STOCKS,2200
211,2,207,3,CHADS_STOCKS,2200
94,1,92,1,JOHNS_STOCKS,2200
204,0,196,0,CASTLE_STOCKS,2200
145,0,143,1,CUTHS_STOCKS,2200
95,0,93,0,HATFIELD_STOCKS,2300
92,0,88,1,COLLINGWOOD_STOCKS,2300
211,1,209,0,CHADS_STOCKS,2300
92,4,88,3,JOHNS_STOCKS,2300
204,2,196,6,CASTLE_STOCKS,2300
145,1,143,2,CUTHS_STOCKS,2300
95,0,93,1,HATFIELD_STOCKS,2400
91,1,87,1,COLLINGWOOD_STOCKS,2400
211,4,209,1,CHADS_STOCKS,2400
89,0,85,0,JOHNS_STOCKS,2400
204,2,196,2,CASTLE_STOCKS,2400
