tick,PnL,Cash,10K_NOTE_quantity
1,0.0,0,0
2,0.0,0,0
3,4.0,4,0
4,7.0,10007,-1
5,4.0,10007,-1
6,7.0,10007,-1
7,7.0,10007,-1
8,10.0,10,0
9,14.0,14,0
10,14.0,14,0
11,14.0,14,0
12,19.0,10019,-1
13,19.0,10019,-1
14,19.0,40031,-4
15,35.0,60035,-6
16,35.0,60035,-6
17,35.0,60035,-6
18,43.0,60043,-6
19,43.0,60043,-6
20,43.0,60043,-6
21,43.0,60043,-6
22,43.0,60043,-6
23,45.0,80045,-8
24,45.0,80045,-8
25,45.0,80045,-8
26,21.0,80045,-8
27,45.0,80045,-8
28,69.0,80045,-8
29,45.0,80045,-8
30,45.0,80045,-8
31,48.0,70048,-7
32,48.0,70048,-7
33,48.0,70048,-7
34,49.0,80049,-8
35,49.0,80049,-8
36,51.0,80051,-8
37,27.0,80051,-8
38,53.0,80053,-8
39,53.0,80053,-8
40,33.0,100063,-10
41,33.0,100063,-10
42,63.0,100063,-10
43,96.0,90069,-9
44,69.0,90069,-9
45,69.0,90069,-9
46,69.0,90069,-9
47,69.0,90069,-9
48,71.0,90071,-9
49,71.0,90071,-9
50,76.0,80076,-8
51,80.0,60080,-6
52,82.0,80082,-8
53,82.0,80082,-8
54,82.0,80082,-8
55,87.0,90087,-9
56,93.0,90093,-9
57,93.0,90093,-9
58,93.0,90093,-9
59,96.0,100096,-10
60,96.0,100096,-10
61,100.0,100100,-10
62,100.0,100100,-10
63,105.0,90105,-9
64,105.0,90105,-9
65,105.0,90105,-9
66,106.0,100106,-10
67,106.0,100106,-10
68,106.0,100106,-10
69,106.0,100106,-10
70,110.0,100110,-10
71,111.0,110111,-11
72,115.0,130115,-13
73,115.0,130115,-13
74,76.0,130115,-13
75,120.0,140120,-14
76,124.0,140124,-14
77,124.0,140124,-14
78,124.0,140124,-14
79,124.0,140124,-14
80,129.0,130129,-13
81,130.0,140130,-14
82,130.0,140130,-14
83,134.0,160134,-16
84,138.0,180138,-18
85,139.0,170139,-17
86,139.0,170139,-17
87,140.0,160140,-16
88,140.0,160140,-16
