tick,PnL,Cash,bond1_quantity,bond2_quantity,bond3_quantity,bond4_quantity,ETF1_quantity,ETF2_quantity
1,32.5,182,-1,0,0,0,0,0
2,44.5,194,-1,0,0,0,0,0
3,83.5,1348,-1,0,0,0,0,-6
4,81.5,1352,-1,0,0,0,0,-6
5,126.0,1568,-1,0,0,0,0,-7
6,162.5,312,-1,0,0,0,0,0
7,206.0,1640,-1,0,0,0,0,-7
8,215.0,2832,-1,0,-1,0,-3,-7
9,214.0,2832,-1,0,-1,0,-3,-7
10,222.0,2832,-1,0,-1,0,-3,-7
11,248.0,855,-1,0,-1,0,-2,2
12,258.5,-1506,-1,0,-1,0,-2,15
13,299.0,-1612,0,0,-1,0,-2,15
14,338.0,-1572,0,0,-1,0,-2,15
15,337.0,-1572,0,0,-1,0,-2,15
16,347.0,-1572,0,0,-1,0,-2,15
17,330.5,-293,0,0,-1,0,-2,8
18,342.5,-285,0,0,-1,0,-2,8
19,349.5,-285,0,0,-1,0,-2,8
20,392.0,-424,0,0,-1,0,-2,9
21,391.0,-424,0,0,-1,0,-2,9
22,393.0,-424,0,0,-1,0,-2,9
23,405.5,-230,0,0,-1,0,-2,8
24,417.5,-230,0,0,-1,0,-2,8
25,414.5,868,0,0,-1,0,-2,2
26,429.5,1612,0,0,-1,0,-2,-2
27,435.5,355,0,0,-1,0,-1,3
28,443.5,73,0,0,-1,2,-1,3
29,438.5,-659,0,0,-1,2,-1,7
30,450.0,-830,0,0,-1,2,-1,8
31,453.0,-830,0,0,-1,2,-1,8
32,505.0,610,0,0,-1,2,-5,8
33,526.0,610,0,0,-1,2,-5,8
34,530.5,-1043,0,0,-1,2,-5,17
35,526.5,-340,-1,0,-1,2,-5,14
36,553.0,1346,-1,0,-1,2,-5,5
37,572.5,-3866,-1,0,-1,2,10,5
38,606.0,-4412,-1,0,-1,2,10,8
39,642.0,-4412,-1,0,-1,2,10,8
40,648.0,-4400,-1,0,-1,2,10,8
41,658.0,-4400,-1,0,-1,2,10,8
42,674.0,-4400,-1,0,-1,2,10,8
43,650.0,-4022,-1,0,-1,2,10,6
44,673.0,-4022,-1,0,-1,2,10,6
45,669.5,-5068,-1,0,-1,2,13,6
46,694.5,-5068,-1,0,-1,2,13,6
47,713.5,-5068,-1,0,-1,2,13,6
48,725.0,-6118,-1,0,-1,2,16,6
49,719.0,-6118,-1,0,-1,2,16,6
50,727.0,-4978,-1,0,-1,2,16,0
51,744.0,-6161,-1,0,-2,2,16,7
52,780.0,-6161,-1,0,-2,2,16,7
53,815.0,-6921,-1,0,-2,2,16,11
54,833.0,-6885,-1,0,-2,2,16,11
55,843.0,-6881,-1,0,-2,2,16,11
56,857.5,-6290,-1,0,-2,2,16,8
57,852.5,-6290,-1,0,-2,2,16,8
58,860.5,-6290,-1,0,-2,2,16,8
59,870.5,-6278,-1,0,-2,2,16,8
60,880.0,-3059,-1,0,-2,2,7,8
61,889.0,-3047,-1,0,-2,2,7,8
62,902.5,-2075,-1,0,-2,2,7,3
63,915.0,-2419,-1,0,-2,2,8,3
64,962.0,-2379,-1,0,-2,2,8,3
65,949.0,-2379,-1,0,-2,2,8,3
66,962.0,-2379,-1,0,-2,2,8,3
67,959.0,-2379,-1,0,-2,2,8,3
68,986.0,-2730,-1,0,-2,2,8,5
69,1021.0,-3850,-1,0,-2,2,8,11
70,1051.5,-2766,-1,0,-2,2,5,11
71,1087.5,-2726,-1,0,-2,2,5,11
72,1112.5,-2706,-1,0,-2,2,5,11
73,1109.5,-2678,-1,0,-2,2,5,11
74,1179.0,-2047,-1,0,-2,2,5,8
